"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
196,318,451,440,478,"TENT5A"
4,11,23,10,11,"CLIC5"
2748,3275,4178,4492,4985,"FBRSL1"
223,294,264,343,327,"ENPP5"
0,0,0,0,0,"LY86"
209,307,332,378,427,"PRSS16"
0,0,1,0,1,"MEP1A"
1,10,4,11,7,"TBX18"
504,718,854,1090,972,"ERBIN"
1,0,0,1,3,"PCDHB2"
474,619,675,763,876,"HARS2"
141,207,188,235,246,"NUDT12"
397,444,597,575,732,"CEP72"
245,327,341,508,449,"MAN2A1"
0,0,1,2,0,"SEMA5A"
0,1,0,2,1,"C7"
1500,1824,2245,2934,2787,"TENT4A"
291,411,475,603,606,"GHR"
604,821,960,1016,1140,"HMGCS1"
3039,3694,4516,4944,5443,"DAP"
2,4,2,1,4,"NME5"
1138,1627,1919,2209,2288,"BRD8"
1087,1171,1666,1794,2117,"KIF20A"
443,596,758,848,771,"NNT"
430,608,810,846,953,"MRPS30"
4128,5586,7144,7789,8737,"HSPA9"
753,911,1009,1175,1212,"MRPS27"
510,631,706,799,848,"PFDN1"
12,40,46,48,76,"HBEGF"
1,4,1,4,5,"SLC4A9"
210,323,374,584,497,"LOX"
0,0,0,0,0,"GZMK"
0,0,0,0,0,"CDH9"
228,288,290,415,379,"APBB3"
262,318,364,419,476,"TMCO6"
1190,2168,3293,4108,2839,"SPARC"
1089,1340,1692,1884,1948,"IK"
601,785,950,1088,1067,"HMGCR"
301,438,572,595,582,"CERT1"
1236,1640,2130,2505,2460,"FAF2"
2,2,1,1,4,"HAND1"
58,99,121,132,166,"PCDHB3"
2,3,4,11,6,"PCDHB5"
2,3,1,0,7,"PCDHB6"
0,3,1,2,5,"PCDHB7"
5,16,14,16,22,"PDE8B"
457,694,802,946,868,"CLK4"
31,38,37,28,35,"PCDHB15"
0,0,3,0,0,"HAVCR1"
1,7,3,2,2,"GRM6"
0,0,0,1,0,"ITK"
2625,3458,3913,4641,4702,"RNF130"
94,144,165,188,233,"THG1L"
201,265,303,460,397,"ARSB"
1389,1952,2222,2800,2549,"CLINT1"
168,158,251,327,237,"THBS4"
1043,1560,1685,2095,2110,"CNOT6"
0,2,2,3,2,"IL12B"
0,0,0,0,0,"BTNL8"
590,714,845,976,1011,"TTC1"
189,286,312,375,333,"MSH3"
4,14,12,20,25,"RASGRF2"
0,0,0,0,0,"GABRG2"
478,495,599,748,863,"CCNG1"
283,386,557,669,665,"POLR3G"
1096,1542,1719,2124,2188,"DROSHA"
0,0,0,1,0,"CDH6"
1386,1623,1971,2217,2384,"LMNB1"
1150,1668,1754,2208,2017,"ARRDC3"
1561,2073,2264,2597,2750,"GOLPH3"
2125,2666,3117,3641,3931,"SUB1"
455,515,738,815,838,"NPR3"
223,255,309,335,324,"FAM172A"
91,106,88,144,114,"SLC27A6"
1473,1871,2631,3039,3038,"TARS1"
79,72,206,143,216,"IRX4"
598,778,960,1151,1021,"LNPEP"
35,103,145,100,112,"PDE4D"
294,447,468,540,567,"RAD1"
548,701,815,1014,1164,"BRIX1"
0,0,0,0,1,"AGXT2"
781,1025,1237,1580,1405,"PRLR"
1371,1796,2486,2856,3087,"SLC12A7"
0,0,0,0,0,"IL4"
6,13,14,19,20,"RAD50"
0,0,0,0,0,"IL5"
1,10,15,18,13,"ST8SIA4"
478,639,781,858,948,"GNPDA1"
1,6,9,6,9,"PCDH12"
788,1127,1429,1477,1472,"SKP1"
1129,1517,1804,2053,2094,"NUP155"
1109,1800,2283,2369,2623,"PPP2CA"
7,6,9,14,10,"FGF1"
220,442,534,540,507,"NR3C1"
367,461,564,657,705,"C5orf15"
248,313,372,397,416,"PPWD1"
59,84,110,165,125,"LIFR"
44,74,72,76,87,"TRIM23"
158,187,225,253,237,"TRAPPC13"
0,0,1,0,0,"C9"
179,299,328,411,405,"SEC24A"
194,259,278,337,344,"TXNDC15"
148,146,165,207,173,"TTC33"
855,1072,1230,1439,1528,"RARS1"
2319,2965,3667,4537,4785,"WWC1"
1342,1721,2123,2369,2682,"MACROH2A1"
1417,1896,2294,2916,2887,"TCERG1"
1131,1459,1797,1952,2330,"DPYSL3"
427,569,741,889,791,"SMAD5"
1228,1748,2254,2543,2531,"CSNK1A1"
815,1017,1377,1627,1714,"HMGXB3"
2627,3114,3732,4091,4671,"ERGIC1"
19,18,41,26,38,"PDGFRB"
0,0,1,0,0,"CDX1"
1374,1691,1995,2219,2539,"ATP6V0E1"
124,155,189,223,240,"BNIP1"
1453,1886,2364,2395,2839,"STC2"
340,650,805,984,744,"CPEB4"
0,1,3,1,6,"HRH2"
5380,6128,7811,8106,9269,"DBN1"
249,370,369,435,517,"ZNF346"
4,13,8,21,22,"UNC5A"
484,589,677,686,729,"EHHADH"
0,0,2,0,0,"CNTN3"
5281,6895,9593,10631,10680,"SMC4"
331,392,495,551,658,"SELENOK"
299,414,525,589,599,"ACTR8"
222,291,401,393,470,"TBCCD1"
869,1073,1169,1354,1471,"TIMMDC1"
160,178,177,278,231,"CRBN"
0,0,0,0,0,"KNG1"
0,1,0,0,1,"HRG"
1341,1906,2412,3099,3171,"BCL6"
0,0,0,0,2,"HGD"
68,83,101,136,115,"CLDN16"
124,139,187,169,204,"ARL6"
84,95,88,110,84,"NPHP3"
0,1,0,0,0,"CD86"
1698,2335,2647,3316,3533,"AMOTL2"
864,1139,1306,1445,1586,"NIT2"
357,510,498,539,543,"FAM162A"
270,303,394,472,501,"OGG1"
805,1048,1311,1410,1486,"KPNA1"
804,1030,1276,1203,1445,"PCCB"
520,797,983,1113,1140,"UBE3A"
686,917,1056,1152,1247,"ARMC8"
675,824,869,975,952,"CEP70"
0,0,0,0,1,"RBP2"
404,439,683,561,703,"RBP1"
1047,1465,1626,1851,1839,"SLC25A36"
3,6,2,3,2,"GRK7"
501,699,742,776,994,"RNF7"
1827,2206,3025,2990,3183,"TFDP2"
364,470,549,709,619,"XRN1"
42,117,130,91,96,"KAT2B"
18,33,37,24,29,"BCHE"
0,1,0,1,0,"SERPINI2"
1273,1733,1852,2444,2416,"PDCD10"
0,0,0,0,1,"LRRC31"
36,80,96,106,91,"WNT5A"
76,95,104,122,124,"PFKFB4"
371,496,965,879,975,"COL7A1"
155,195,179,204,194,"FGF12"
715,928,1382,1514,1454,"PRKAR2A"
1788,2147,2260,2689,4052,"HES1"
734,1005,1240,1392,1379,"USP4"
1192,1600,1872,2230,2027,"ACAP2"
2127,2704,3581,3931,4214,"ECT2"
1,0,1,0,2,"GNAT1"
4035,5244,6760,7531,7729,"GNAI2"
2123,2729,3233,3831,4100,"TFG"
0,5,17,11,7,"USP9Y"
19,31,32,42,32,"HYAL1"
375,472,579,516,710,"TUSC2"
274,324,349,366,405,"NPRL2"
3851,4614,5346,5828,6677,"RPL24"
88,119,162,174,200,"CYB561D2"
116,150,159,187,182,"C3orf14"
2611,3723,4492,5058,5056,"FXR1"
249,329,452,444,419,"CBLB"
943,1429,1544,1716,1562,"BBX"
828,1006,1101,1417,1389,"IFT57"
1000,1345,2140,2531,2467,"GNB4"
2,0,1,1,0,"HHLA2"
830,1059,1316,1612,1584,"IQCG"
198,277,354,358,368,"GBE1"
0,0,0,2,1,"MORC1"
639,878,1052,1218,1333,"UMPS"
3907,5205,6154,7175,7879,"NCBP2"
591,813,823,1038,978,"SNX4"
135,151,265,308,310,"C3orf52"
138,190,204,310,263,"FRMD4B"
663,803,914,982,1042,"SLC41A3"
429,515,535,594,653,"ROPN1B"
2043,2721,3732,4116,4440,"PLXNA1"
1484,1753,2148,2281,2449,"ATP6V1A"
210,251,215,232,233,"ABTB1"
1049,1334,1445,1684,1888,"PODXL2"
0,4,3,0,0,"UPK1B"
34,41,37,48,71,"CSPG5"
525,624,873,928,926,"KLHL18"
1919,2315,2545,2789,3113,"SCAP"
3,13,16,18,17,"EFCC1"
21,34,51,37,51,"KIAA1257"
125,203,153,246,222,"NEK11"
1513,1923,2257,2740,2899,"MRPL3"
381,472,482,673,643,"PLSCR4"
394,655,690,667,770,"HEMK1"
27,62,58,89,115,"CISH"
774,949,1081,1189,1266,"MAPKAPK3"
206,309,337,433,438,"ACVR2B"
556,895,957,1096,1106,"WDR48"
1797,2356,2689,3078,3294,"COMMD2"
879,1043,1221,1378,1442,"GORASP1"
0,2,1,0,2,"PEX5L"
468,606,777,856,1003,"RRP9"
1894,2961,4272,4455,4601,"ABCC5"
2,1,0,0,0,"AADAC"
362,406,469,519,587,"ABHD14B"
285,420,460,526,529,"EIF1B"
0,0,0,4,0,"ABHD14A-ACY1"
85,120,149,209,143,"ARHGEF26"
980,1459,1633,1733,1755,"KLHL24"
987,1544,1559,1799,1714,"PLCH1"
139,191,150,145,159,"VIPR1"
151,198,201,233,204,"DNAH1"
5043,6610,8315,10209,10440,"SSR3"
452,541,624,584,644,"ZBTB47"
9,13,8,6,3,"TNNC1"
940,1393,1629,2040,1701,"NKTR"
946,1225,1844,1607,1972,"CLCN2"
218,255,249,311,319,"FOXP1"
14861,18643,24086,27407,29081,"EIF4G1"
647,774,799,1009,1007,"SPCS1"
391,503,574,728,767,"NEK4"
809,1009,1209,1271,1366,"SLC4A3"
444,633,700,851,786,"INO80D"
2615,3144,3724,4260,4834,"EEF1B2"
16,19,50,41,28,"ADAM23"
323,472,528,578,617,"DGUOK"
1346,1842,2221,2545,2661,"MOB1A"
1391,1916,2277,2613,2673,"KANSL3"
427,601,699,750,797,"LMAN2L"
1216,1488,1953,2214,2495,"RTKN"
1442,1871,2583,2844,2888,"TTL"
1,1,5,9,5,"IL1A"
64,103,138,188,208,"CCL20"
370,520,653,805,830,"PIKFYVE"
473,549,617,627,771,"KCNIP3"
1017,1314,1658,1709,1852,"FAHD2A"
12181,15235,18801,24089,26199,"NCL"
2188,2495,2497,2737,2904,"ACTR1B"
1056,1244,1515,1676,1687,"SLC35F5"
31,30,41,59,67,"ZAP70"
5308,7210,8928,10596,10611,"ACTR3"
3631,4651,5977,6908,7905,"STEAP3"
576,816,854,992,984,"EPB41L5"
2621,3592,4047,3893,3313,"TFCP2L1"
1198,1613,1860,2238,2334,"SF3B6"
693,765,1004,950,1093,"TP53I3"
116,165,183,202,208,"DNAJC27"
15,30,23,27,46,"POMC"
305,388,476,604,581,"STAM2"
54,53,93,64,118,"OTOF"
1325,1807,2062,2473,2256,"GPD2"
957,1167,1410,1568,1841,"CENPA"
2,0,0,0,1,"CYTIP"
253,327,405,502,472,"ACVR1"
1368,1938,2774,3207,2905,"TANC1"
31,45,59,65,98,"SLC30A3"
631,816,1007,981,1296,"MPV17"
2934,3288,4345,4795,5274,"GTF3C2"
720,913,1084,1175,1307,"EIF2B4"
1389,1948,2434,2841,2946,"NRBP1"
1095,1729,2045,2953,2721,"ITGB6"
49,52,86,90,132,"FNDC4"
0,0,3,1,0,"ITGA4"
1480,1946,2310,2701,3187,"PSMD14"
1734,2026,2469,2519,2870,"SNX17"
290,379,488,430,461,"ASB3"
4322,5095,6233,7319,8221,"PPM1G"
1,10,18,12,14,"PDE1A"
205,237,252,225,277,"REEP6"
110,154,151,132,150,"PCSK4"
0,0,0,0,0,"GCG"
21,24,87,54,89,"APC2"
1571,2847,3391,5715,4672,"IFIH1"
2437,2553,3040,3297,4202,"RPS15"
406,521,596,736,799,"GCA"
13,18,20,16,23,"INO80B"
1115,1351,1541,1835,1966,"MOGS"
293,361,395,484,519,"TTC31"
879,1059,1126,1304,1526,"NDUFS7"
178,249,286,364,431,"PCGF1"
185,210,239,280,258,"GRB14"
712,992,1354,1520,1464,"CLIP4"
5,3,6,3,0,"TLX2"
4201,6553,8982,10126,8973,"SPTBN1"
1610,2068,2468,2827,3157,"AUP1"
5390,6770,8591,9296,10229,"RTN4"
297,386,449,415,523,"HTRA2"
134,169,286,330,316,"LOXL3"
103,89,114,111,124,"DOK1"
1356,1985,2319,2835,2847,"GALNT3"
135,167,207,206,243,"POLE4"
2,2,8,17,7,"TACR1"
622,829,1127,1266,1223,"CCDC88A"
14,30,66,12,29,"ACADL"
178,206,323,375,386,"EVA1A"
497,699,741,873,1052,"MRPL19"
647,828,846,1108,1082,"LANCL1"
1110,1405,1733,2114,2216,"WDR75"
92,114,259,158,178,"EFEMP1"
0,0,0,0,0,"REG1A"
878,1108,1159,1351,1473,"FANCL"
1019,2119,3364,4589,3507,"FN1"
3672,6062,7723,10277,9042,"STAT1"
1437,2134,3805,4102,4234,"GLS"
364,591,669,728,767,"PAPOLG"
14,25,16,7,17,"DNAH6"
90,117,123,140,150,"PECR"
497,659,688,901,873,"UNC50"
756,1071,1754,1309,1752,"IGFBP2"
259,354,433,463,491,"ELMOD3"
7428,10408,7899,11858,10624,"IGFBP5"
1756,2556,3182,3484,3395,"USP34"
2087,2214,2928,3137,3780,"EFHD1"
0,0,0,0,0,"KCNJ13"
2838,3494,4338,5260,5603,"CCT4"
810,1193,1450,1578,1656,"GGCX"
0,0,0,0,0,"NEU2"
384,513,674,753,752,"EHBP1"
352,398,459,540,577,"OTX1"
722,956,1082,1285,1334,"TXNDC9"
213,304,335,364,451,"COQ10B"
2,3,1,1,3,"GNLY"
3375,5113,6193,7459,6850,"SF3B1"
4,4,4,4,2,"ST3GAL5"
544,647,784,953,1046,"CHST10"
435,599,588,814,831,"PDCL3"
229,322,317,416,449,"MOB4"
322,498,539,633,794,"HSPE1"
897,1312,1433,1604,1535,"KDM3A"
6,8,7,4,10,"PLCD4"
1145,1355,1639,1805,1989,"CHMP3"
915,1252,1675,1934,1921,"ZNF142"
76,85,78,97,123,"IL1R2"
0,0,2,0,2,"PRKAG3"
2,18,6,7,4,"SMYD1"
304,403,560,601,610,"IL1R1"
16,29,31,42,50,"WNT6"
346,485,598,645,747,"IL1RL2"
1,2,3,0,1,"IL1RL1"
52,80,73,93,102,"IL18R1"
0,0,2,2,0,"IL18RAP"
7,8,14,12,6,"SLC9A2"
424,593,928,1148,1382,"FHL2"
410,535,607,581,640,"MLPH"
911,1168,1423,1428,1591,"CNPPD1"
687,827,1187,1486,1642,"UXS1"
22,54,28,35,38,"ABCB6"
275,361,361,402,457,"STK16"
0,0,0,0,0,"SLC5A7"
15182,18904,23857,26233,27704,"HDLBP"
1112,1338,1585,1681,1953,"PPP1R7"
533,722,911,985,1003,"PASK"
3337,3891,4566,4999,5612,"STK25"
0,0,0,0,0,"TPO"
4,13,15,13,18,"PROC"
2083,2534,2961,3015,3388,"ID2"
433,510,679,801,772,"TAF1B"
2360,2863,3181,3632,4279,"HPCAL1"
2499,3145,3430,4373,4968,"ODC1"
1420,2114,2579,2767,2839,"BIRC6"
1243,1616,1891,2383,2597,"NOL10"
1682,2340,2509,3144,2768,"PLEKHB2"
1758,2285,2602,2985,3201,"GORASP2"
1484,2048,2436,2797,2562,"STRN"
1817,2451,2966,3545,3891,"CEBPZ"
1086,1551,1917,2360,2107,"PRKD3"
234,320,405,489,518,"DCAF17"
272,365,446,400,433,"QPCT"
1171,1652,1712,2147,2066,"RAB3GAP1"
450,595,735,835,873,"SLC25A12"
80,108,138,129,131,"RMDN2"
38,34,65,61,81,"DLX2"
146,213,345,275,387,"LCT"
1395,1845,2031,2408,2463,"DARS1"
3156,4097,5075,5734,6494,"SRSF7"
11535,13802,18131,18759,23281,"SDC1"
4,2,2,4,7,"PLCL1"
274,336,636,670,651,"SLC1A4"
978,1498,1673,2038,1842,"SOS1"
26,71,43,71,72,"KYNU"
0,0,0,0,0,"AC087235.1"
93,113,234,227,241,"WIPF1"
439,569,673,753,746,"ORC2"
1484,1848,2231,2290,2656,"COX7A2L"
407,527,716,860,1003,"PNO1"
467,609,639,747,757,"ORC4"
7,11,33,44,19,"PLEK"
1585,2264,2224,2807,2757,"RND3"
548,915,1040,1068,1087,"ATF2"
695,899,1158,1422,1408,"THADA"
182,254,327,328,356,"AAK1"
379,554,707,767,727,"TRAK2"
70,135,158,166,167,"C2orf42"
1092,1474,1687,1905,2027,"TIA1"
531,701,852,878,932,"PCYOX1"
70,52,51,37,68,"KISS1R"
475,589,715,795,823,"EPAS1"
175,254,270,235,285,"ARID3A"
1337,1818,2006,2291,2357,"SUMO1"
7,16,16,23,14,"CD207"
40,24,46,35,41,"GRIN3B"
58,39,63,70,64,"VAX2"
19,24,9,19,16,"ATP6V1B1"
1419,1980,2352,2841,2935,"NFE2L2"
1515,2125,2341,2957,2819,"MSH6"
253,341,482,450,506,"PLEKHA3"
358,503,583,747,837,"SPR"
99,149,160,231,224,"EPHA4"
126,158,220,271,243,"PARD3B"
917,1068,1171,1406,1561,"FARSB"
284,330,423,471,432,"ALMS1"
1230,1621,1951,2448,2458,"BCL9"
111,214,347,358,308,"PRRX1"
3518,4285,5329,5202,6019,"DHCR24"
234,365,430,524,493,"DNAJC16"
241,333,355,390,403,"MARK1"
0,1,0,0,5,"TNR"
247,338,346,419,439,"MORN1"
318,371,413,459,557,"GPX7"
1568,1902,2736,3385,3579,"CACYBP"
1616,1882,2201,2380,2607,"SCP2"
0,0,0,0,0,"TPSG1"
2,0,3,4,2,"PAPPA2"
351,435,555,612,589,"RALGPS2"
1,3,8,6,2,"ANGPTL1"
843,1148,1562,1802,1795,"CEP104"
1894,2652,3113,3800,3550,"FAM20B"
262,314,407,439,386,"TCEANC2"
2910,3656,4345,4556,4978,"TMEM59"
605,789,893,1007,1035,"LRRC42"
863,1079,1180,1316,1499,"WRAP73"
2,2,2,1,1,"NPHS2"
1834,2152,2447,2812,3040,"MRPL37"
1938,2303,2867,3326,3406,"ICMT"
1117,1241,1390,1574,1851,"RPL22"
14,22,20,24,30,"CHD5"
5688,6409,8383,8561,9411,"QSOX1"
1057,1197,1414,1790,1637,"STXBP3"
533,658,694,676,712,"PHF13"
1989,2720,2957,4188,4847,"ERRFI1"
1624,2046,2245,2677,2860,"PARK7"
617,810,700,789,781,"KIAA1324"
15,14,54,79,81,"OPRD1"
1441,1654,2048,2528,2328,"AMPD2"
2222,2663,3254,3857,4200,"SRSF4"
514,711,764,885,977,"MECR"
691,961,1374,1618,1427,"KCNC4"
1038,1608,2018,2331,2270,"EDEM3"
431,437,544,694,729,"WDR77"
2252,2386,2785,3446,3442,"ATP5PB"
1137,1502,1777,2133,2000,"RAP1A"
3395,4226,4979,5467,5916,"HDAC1"
4080,5048,5809,7160,6812,"CAPZA1"
502,684,758,878,917,"S100PBP"
719,1107,1457,1518,1624,"RNF19B"
975,1240,1436,1649,1855,"SCAMP3"
194,244,309,343,387,"TRIM62"
1292,1899,2203,2833,2668,"ASH1L"
33,36,49,74,67,"DLGAP3"
6517,8263,10229,12849,13627,"SFPQ"
178,255,278,329,303,"RHOU"
846,1272,1806,2115,1861,"GON4L"
2984,3697,4718,4191,5005,"ARHGEF2"
561,742,721,884,874,"LAMTOR2"
1154,1421,1652,1782,1943,"MEF2D"
938,1282,1519,1897,1707,"DOCK7"
823,980,1201,1414,1703,"SRM"
0,5,4,4,5,"DLEU2L"
485,572,884,898,1103,"FBXO2"
89,119,142,185,209,"FBXO6"
640,862,1020,1160,1268,"C1orf21"
102,162,139,189,159,"SWT1"
597,646,697,809,901,"MAD2L2"
229,316,342,536,411,"DNAJC6"
14,25,29,49,35,"LEPR"
3217,4578,6287,6462,6450,"IVNS1ABP"
1427,1709,2028,2119,2418,"KIAA2013"
1558,1864,2378,2380,2854,"MFN2"
3,10,3,7,6,"PRG4"
554,650,808,896,1057,"MIIP"
2555,4112,5171,6392,6252,"SMG7"
83,118,217,186,186,"NCF2"
0,1,0,0,0,"PDC"
197,301,393,427,449,"SLC35D1"
410,535,579,699,668,"PLA2G4A"
290,523,709,671,851,"GADD45A"
2,0,0,0,0,"PRAMEF1"
0,0,0,0,0,"PRAMEF12"
440,500,794,850,841,"WLS"
707,1049,1433,1541,1557,"PRDM2"
122,170,157,183,218,"RGS2"
0,0,0,0,0,"RPE65"
1178,1426,1577,1999,2048,"RO60"
2,0,0,1,4,"AMPD1"
1178,1607,1944,2343,2452,"UCHL5"
711,863,984,1248,1153,"BCAS2"
3462,4603,5180,6640,6232,"SRSF11"
56,42,76,88,87,"CTH"
146,177,199,257,236,"AGMAT"
82,96,119,130,98,"OLFML3"
0,0,1,0,0,"TNNI3K"
0,1,1,1,4,"CFHR3"
1603,2051,2427,2654,3076,"PLEKHM2"
630,791,961,1224,1235,"CRYZ"
585,565,726,892,760,"PHTF1"
458,507,644,679,791,"ZBTB17"
211,272,365,410,372,"CD58"
180,207,307,360,388,"TFAP2E"
0,0,0,1,1,"CD2"
1239,1705,2314,2561,2685,"TTF2"
0,0,4,3,0,"NR5A2"
124,173,236,300,333,"KIF21B"
1547,1731,1827,2035,2188,"TMEM9"
533,707,828,926,1008,"ADPRS"
3070,3766,4899,5350,5733,"MAP7D1"
428,602,614,726,818,"WARS2"
2,2,1,1,0,"HAO2"
82,83,89,89,115,"OSCP1"
909,1119,1168,1469,1554,"MRPS15"
283,438,553,663,635,"EXOC8"
705,989,1040,1256,1388,"GNPAT"
445,555,570,624,799,"TSNAX"
473,643,710,757,911,"C1orf109"
214,290,268,331,360,"RRAGC"
9,14,48,22,37,"NID1"
765,1148,1183,1481,1525,"LGALS8"
0,1,3,2,0,"NT5C1A"
4,4,9,3,12,"HPCAL4"
838,1228,1244,1572,1435,"MTR"
189,233,245,259,303,"BMP8B"
1088,1360,1414,1870,1829,"MYCL"
439,646,803,985,1004,"SIPA1L2"
0,1,0,1,4,"ZP4"
451,670,674,833,758,"RLF"
4,8,2,3,9,"KMO"
99,125,158,166,201,"ZNF684"
581,680,758,724,879,"KCNQ4"
841,1073,1211,1252,1302,"RIMS3"
179,311,486,593,479,"AKT3"
1180,1724,2158,2444,2535,"ETV3"
886,1164,1234,1336,1444,"ACADM"
1142,1388,1704,1994,1966,"ST6GALNAC5"
0,0,0,1,2,"SLAMF1"
0,0,0,0,0,"CD48"
1010,1267,1620,1859,1567,"ADGRL2"
5703,6927,7202,9492,10119,"PADI2"
824,1127,1196,1433,1495,"SDHB"
226,315,394,364,328,"MFAP2"
578,677,818,1142,1027,"RPF1"
639,1110,1215,1338,1357,"KDM5B"
1548,2005,2428,2975,3160,"UAP1"
22,23,27,30,46,"ACTL8"
118,156,163,198,185,"CTBS"
0,5,7,3,1,"RGS4"
680,953,1141,1256,1209,"KLHL12"
0,0,0,0,1,"IGSF21"
769,921,1036,1283,1136,"SSX2IP"
813,1108,1348,1706,1597,"ZNHIT6"
1,0,0,0,0,"PLA2G2D"
687,990,1223,1353,1453,"RBBP5"
197,244,294,469,340,"GBP3"
2775,3750,4595,7014,5369,"GBP1"
78,111,116,123,125,"PINK1-AS"
10,23,7,8,14,"KIF17"
185,255,301,313,383,"GPR89A"
1914,2663,3104,3671,3978,"CDK18"
1159,1366,1708,1882,1956,"RAB29"
1,0,0,0,0,"CD160"
2188,2649,3415,3879,4102,"ECE1"
226,250,258,253,313,"HMGCL"
313,377,405,431,460,"GALE"
408,478,628,955,993,"ID3"
11,4,10,8,12,"CR2"
4501,6240,6859,8379,8442,"CD46"
1569,2117,2394,2980,3226,"PRPF3"
3489,4238,4895,5320,5953,"APH1A"
497,631,772,761,755,"P3H1"
1758,2269,2349,2349,2632,"SLC2A1"
1422,1666,1875,2375,2476,"EBNA1BP2"
2915,3197,3743,4069,4997,"CDC20"
22,19,25,16,27,"MPL"
108,122,160,119,153,"ARTN"
779,1082,1416,1442,1642,"IPO13"
1577,2010,2371,2471,2833,"ATP6V0B"
1678,1985,2232,2538,2884,"B4GALT2"
1159,1399,1735,1825,1986,"ERI3"
84,89,106,134,118,"PTCH2"
1171,1483,1639,1792,2036,"AKR1A1"
5924,7269,8986,9778,11022,"PRDX1"
1637,2158,2585,2815,2780,"PIK3R3"
43,59,67,92,74,"TSPAN1"
592,891,1096,1302,1255,"BLZF1"
0,1,0,0,0,"CCDC181"
730,1017,1134,1230,1318,"SLC19A2"
568,812,846,868,919,"FAAH"
620,799,1007,1182,1298,"NSUN4"
1507,1883,2527,3270,2808,"TMED5"
0,0,0,0,0,"MROH9"
1150,1454,1753,2132,2052,"DR1"
47,74,62,55,46,"FMO6P"
3729,4280,6127,7885,7345,"CNN3"
3925,5765,7239,8791,8409,"PRRC2C"
175,258,287,556,586,"F3"
1361,1560,1857,1884,1849,"ABCD3"
193,280,264,323,323,"VAMP4"
321,380,400,543,494,"DPH5"
0,0,0,0,0,"FASLG"
616,831,865,1154,1027,"PTBP2"
12,21,14,31,27,"TNFSF4"
3408,4041,4634,5067,6043,"PRDX6"
867,1015,1246,1458,1467,"DARS2"
1,0,4,1,1,"HSD11B1"
1382,1873,2340,2733,2809,"IRF6"
468,611,731,934,905,"UTP25"
0,0,0,0,0,"PLPPR5"
0,1,2,2,0,"PLPPR4"
1,1,4,1,3,"SERPINC1"
708,884,1030,1293,1355,"RCAN3"
487,625,663,823,892,"SYF2"
1369,1892,2010,2205,2318,"RSRP1"
497,713,701,942,822,"SLC35A3"
482,718,760,855,815,"RCOR3"
5002,6162,7171,7317,8687,"STMN1"
333,395,411,458,428,"MTFR1L"
64,77,77,77,100,"MAN1C1"
905,975,1308,1330,1535,"NEK2"
807,897,1183,1215,1296,"RPS6KA1"
510,641,822,880,959,"DHDDS"
527,599,757,746,942,"NENF"
192,275,325,324,348,"NSL1"
1,1,1,4,6,"PROX1"
3046,4565,6274,6869,6732,"ARID1A"
2408,2981,3993,4354,4665,"CENPF"
463,631,652,711,907,"RPA2"
639,795,1073,1244,1365,"PPP1R8"
814,1046,1086,1214,1373,"STX12"
251,339,342,315,324,"MTARC2"
28,24,18,28,27,"SLC5A9"
1440,2013,2455,2413,2632,"OSBPL9"
114,118,154,170,169,"TXNDC12"
1781,2275,2556,3473,3282,"ESYT2"
464,656,853,971,1123,"CD3EAP"
783,975,1188,1348,1383,"MESD"
1498,1741,2011,2171,2349,"RCN2"
10,17,28,17,23,"CHRNB4"
14040,15622,22197,24859,25951,"MUC5B"
1911,2197,2326,2367,2631,"CTSD"
18,36,39,35,40,"COLEC11"
455,667,845,1036,820,"STAG1"
0,0,1,0,1,"A4GNT"
2367,2760,3350,3698,4064,"STK11"
1002,1518,1769,1955,1872,"KMT2A"
2,0,0,2,0,"TREH"
184,218,243,288,284,"IFT46"
1,0,2,0,1,"MMP8"
1,5,7,2,4,"APOA1"
0,2,0,1,9,"ZNF541"
4,14,11,15,11,"SLC8A2"
201,247,239,290,276,"KPTN"
5742,6536,8142,8458,9763,"RPS25"
572,772,1004,1109,1076,"KIF14"
43,44,62,47,88,"TNNT2"
307,399,485,572,576,"DDX59"
664,978,1441,1450,1477,"CAMSAP2"
1328,1807,2075,2541,2307,"ATF6"
0,0,0,0,0,"CRYGD"
454,531,728,772,928,"MREG"
0,0,0,0,0,"TNP1"
723,944,1181,1314,1497,"FASTKD2"
451,781,1439,1958,1720,"NRP2"
808,1113,1416,1719,1684,"CREB1"
377,631,834,1246,970,"KLF7"
0,0,0,0,0,"TTR"
39,35,30,61,65,"B4GALT6"
28,51,36,28,48,"C1orf54"
2,3,2,1,4,"CA14"
10,12,13,12,7,"CASC1"
0,0,1,0,2,"LRMP"
6,6,5,6,2,"ATP10B"
709,861,1035,1270,1338,"SPCS2"
117,186,238,205,247,"USP35"
36,42,57,57,58,"ELOVL4"
6,12,14,7,18,"FILIP1"
286,411,497,623,577,"CASP8AP2"
713,948,941,1233,1195,"HMGN3"
68,76,74,101,109,"UBE3D"
5,4,3,7,6,"CNR1"
0,0,0,0,0,"SPACA1"
475,653,609,841,844,"ANKRD13C"
0,5,1,5,2,"SGIP1"
916,1278,1373,1880,1643,"PHF3"
0,0,0,0,0,"ZC2HC1B"
1,0,0,0,0,"ADGB"
2107,2989,3385,4067,3984,"PLAGL1"
399,584,684,848,797,"FBXO30"
622,1093,1351,1608,1787,"TNFAIP3"
