"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
237,239,276,371,281,"MRPL48"
2538,2051,2565,3650,2899,"RAB6A"
217,135,170,305,188,"P2RY2"
209,210,178,259,251,"FOSL1"
183,121,209,276,200,"ERCC4"
19,12,29,18,26,"SUGCT"
538,570,652,692,621,"CCDC85B"
0,0,0,0,0,"AC007601.1"
153,136,170,199,183,"TMEM70"
182,161,196,235,170,"LINC00476"
0,0,0,0,0,"OR4B1"
1103,1148,1221,1364,1208,"RPS6KB2"
477,350,478,552,414,"RMI2"
0,0,0,0,0,"PRM1"
0,0,0,0,0,"DRD5P2"
1715,1740,2117,2519,1903,"TOM1L2"
0,0,0,0,0,"TEX26"
0,0,0,0,0,"GOLGA8DP"
327,266,328,362,331,"ZNF77"
56,64,51,83,64,"GPR156"
0,0,0,0,1,"CCDC197"
378,412,402,471,360,"MTLN"
350,369,430,543,393,"KDF1"
50,58,54,72,60,"B3GNTL1"
0,0,0,0,0,"RBMXL3"
5491,5009,6110,7444,5699,"MLXIP"
0,0,0,0,0,"LINC02873"
3,4,2,5,1,"BAK1P1"
20,9,23,26,26,"RWDD4P2"
134,130,174,216,172,"NR2F1"
6,3,6,5,7,"C15orf54"
0,1,0,0,0,"EIF3KP1"
2036,2171,2434,2721,2377,"AURKAIP1"
198,120,175,250,205,"TTLL11"
0,0,0,0,0,"EIF4E1B"
78,72,71,93,74,"TOMM5"
325,263,288,455,352,"LINC01106"
10,5,5,7,7,"ZBTB44-DT"
0,1,0,0,0,"LINC02694"
424,382,397,437,446,"SLC35E3"
22,11,11,23,23,"PRIMA1"
252,158,247,271,206,"ZNF169"
1152,1058,1386,1516,1311,"RUVBL1"
2434,2248,2530,3272,2924,"SFN"
0,0,0,0,0,"OR52B3P"
200,161,237,232,209,"MSRA"
0,0,0,0,0,"CBLL2"
1,1,0,4,3,"CCDC168"
1480,1488,1630,1803,1625,"CTDNEP1"
418,367,522,569,522,"ETV4"
0,0,0,0,0,"FAM172BP"
499,484,538,702,564,"SWI5"
0,0,0,0,0,"GAPT"
896,1002,845,1208,1005,"BAIAP2"
211,195,210,317,322,"CALCB"
3,3,8,5,2,"CREG2"
6,8,6,8,4,"TMEM270"
25,49,31,36,89,"HOXD8"
2,0,1,0,1,"RPL7AP66"
423,302,415,586,416,"ZDHHC21"
2,2,2,3,3,"TSPEAR"
594,504,700,741,593,"PLEKHF2"
365,175,234,324,185,"A2M"
38,32,45,57,58,"ARL4D"
0,0,1,1,0,"DOK7"
795,431,632,860,781,"LRRN1"
1507,1481,1526,1808,1550,"UBE2O"
58,84,84,74,84,"ORAI3"
20,17,29,11,19,"KLHL38"
1,1,0,1,0,"LINC02880"
996,836,1061,1331,1082,"UNC119B"
40,45,56,43,31,"DENND2C"
16,23,25,25,9,"PLEKHD1"
0,0,0,0,0,"FAM220BP"
0,0,0,0,0,"ASCL3"
2053,2024,2257,3200,2559,"TUBB6"
380,292,418,493,401,"LYSMD3"
0,0,0,0,0,"AMIGO3"
1043,949,1170,1469,1119,"B3GALT6"
136,94,147,162,130,"ZNF613"
18,11,25,18,8,"C11orf16"
0,0,0,3,0,"TMPRSS7"
1,0,0,1,0,"AC007160.1"
662,494,566,649,498,"NUPR1"
0,0,0,0,0,"JAKMIP2"
21,10,18,25,19,"RPL23P2"
155,101,138,215,148,"MBLAC2"
422,440,534,611,438,"TPRN"
14,5,12,8,2,"KCNE5"
0,0,0,0,0,"ZNF683"
1686,1377,1790,1979,1593,"SLC35A4"
353,313,437,500,442,"CRYBG2"
1665,1466,1832,1984,1686,"IP6K1"
1235,1335,1391,1646,1380,"SSNA1"
1043,857,1054,1317,1133,"CSTF3"
2768,1975,2904,3976,3105,"YES1"
223,255,279,307,216,"CHMP6"
0,0,0,0,0,"AQP7P4"
146,92,114,130,117,"DLEU1"
30,24,34,20,17,"UFSP1"
0,0,0,0,0,"AL445665.1"
0,0,1,0,2,"MC5R"
905,743,906,1110,935,"TMEM39A"
288,151,212,401,371,"TCP11L1"
1,2,0,0,1,"GPX2"
1348,1485,1621,1614,1299,"CCDC57"
0,0,1,1,0,"HSF5"
251,197,245,280,227,"FOXG1"
1659,1571,1648,2082,1530,"SPHK1"
457,345,570,612,403,"BNIP3"
0,0,1,0,0,"ENTHD1"
202,218,265,267,238,"MYPOP"
0,0,0,0,1,"AC233964.1"
4,0,0,1,2,"CIDEA"
0,0,0,0,0,"OR11H4"
0,0,0,0,0,"OR4D11"
0,0,0,1,0,"LRRTM4"
250,168,228,271,257,"ATAD5"
225,230,324,261,233,"SMIM19"
0,0,0,0,0,"OR11H6"
98,70,66,126,75,"ZNF404"
166,114,176,250,192,"RTTN"
0,0,0,0,0,"OR4K17"
0,0,0,0,0,"OR10H4"
0,0,0,0,0,"AC092634.1"
31,19,21,20,22,"RPP38-DT"
0,0,0,0,0,"OR51B6"
1,2,0,0,1,"CDV3P1"
539,443,672,975,741,"ACBD7"
0,0,0,0,0,"OR4L1"
2129,2054,2447,2556,1951,"ANAPC2"
0,0,0,0,0,"OR4K13"
1,0,0,0,0,"HMGB4"
540,396,515,664,500,"ZBTB8OS"
18,26,14,19,22,"CYCSP34"
9,5,6,2,7,"OR4F21"
99,85,92,138,97,"SLC35G1"
0,0,0,0,0,"OR4K5"
0,1,1,0,0,"IDSP1"
0,0,0,0,0,"OR4K3"
325,258,295,384,324,"ZNF135"
0,0,0,0,0,"OR4N2"
0,0,0,0,0,"OR4M1"
0,0,2,0,0,"FOXR1"
0,0,0,0,0,"OR4H12P"
2,1,0,0,0,"FOXN3P1"
0,0,0,0,0,"AL138899.1"
423,534,514,537,525,"COX8A"
0,1,0,0,0,"RPL37AP8"
0,0,1,0,0,"AC104129.1"
0,0,0,0,0,"TAC4"
307,208,319,417,272,"ZSCAN2"
0,1,0,0,0,"PFN1P10"
31,25,40,68,31,"PRR18"
56,60,70,79,67,"B3GNT4"
159,114,167,250,159,"CDC26"
449,468,456,549,477,"HSD11B2"
386,311,423,525,408,"CRLF3"
2480,2354,2938,3485,2746,"RNPEP"
202,188,211,282,165,"EID2"
30,20,36,47,44,"DMRTA1"
18,15,21,25,18,"EID2B"
71,89,83,78,59,"GJC3"
138,114,146,221,176,"RIMS2"
2284,2263,2367,2677,2373,"KCMF1"
366,349,364,460,323,"DNAJC30"
377,323,336,452,375,"SPRYD4"
48,54,61,63,46,"VPS37D"
0,0,0,0,0,"CLEC14A"
132,67,81,116,102,"SYNE3"
1338,1247,1469,1623,1344,"CLK2"
411,383,382,595,416,"LPCAT4"
336,200,282,344,431,"SLCO3A1"
29,11,14,25,26,"ZNF575"
160,159,201,249,204,"WDR25"
199,149,189,218,160,"SGF29"
175,170,251,278,147,"PLAAT3"
925,763,912,1194,905,"DIRAS1"
0,0,0,0,0,"OR5AN1"
0,0,1,0,0,"OR10AC1"
0,0,0,0,0,"AL033381.1"
367,347,416,473,394,"PHLDB3"
4,13,17,18,9,"PRR15"
18,19,12,20,20,"GNG7"
0,0,0,0,0,"OR4C5"
369,260,397,529,373,"USF3"
0,0,0,0,0,"OR4C3"
0,0,0,0,0,"OR4S1"
0,3,0,6,1,"CNTD1"
0,0,2,0,0,"DCAF4L2"
0,0,0,0,0,"OR4X1"
0,0,0,0,0,"CNBD1"
0,0,0,0,0,"DMBT1L1"
526,401,485,678,506,"AC008969.1"
0,2,2,2,3,"KBTBD11"
1682,1175,1827,2385,1724,"B3GNT5"
0,0,0,0,0,"MAP3K19"
0,0,0,0,0,"C14orf177"
8562,7377,8958,11769,10485,"LMNB2"
455,337,532,514,420,"RMDN1"
1774,1411,1886,2203,1792,"MEX3C"
5,0,2,10,2,"HORMAD2"
75,81,69,81,75,"RNF152"
2,5,7,6,3,"NANOGP1"
1580,1347,1779,2310,1768,"MYO1D"
12,14,22,19,16,"C20orf197"
151,147,216,218,182,"FOXL1"
0,0,0,0,0,"TGIF2LY"
0,0,1,0,1,"LRRC37A"
14,8,13,14,21,"FOXC2"
0,0,0,0,0,"OR4F17"
13,15,13,11,8,"BDNF"
165,115,154,224,133,"SCAND2P"
142,90,161,161,152,"CCDC121"
225,236,225,296,211,"ACSF3"
1,1,1,0,0,"OR10AB1P"
1351,1246,1401,1924,1465,"BOK"
23,14,16,14,13,"ZNF843"
0,0,0,0,0,"TTTY14"
874,757,995,1126,894,"RBIS"
28,27,38,35,35,"PFN4"
0,0,0,0,0,"OR51V1"
0,0,0,0,0,"MAGEB6"
0,0,0,0,0,"OR52Z1"
320,255,335,400,337,"CDK5R1"
0,0,0,0,0,"OR51A1P"
11,8,18,24,16,"C15orf56"
0,2,1,3,0,"LINC00303"
0,0,0,0,0,"ZNF285B"
0,0,0,1,0,"TCERG1L"
724,359,576,850,777,"NCKAP5"
0,0,0,0,0,"MAGEB18"
0,0,0,0,0,"DEFB104A"
1322,1025,1401,1801,1362,"RUFY1"
0,0,0,0,0,"OR52E2"
246,273,311,258,312,"BASP1"
0,0,0,0,0,"DEFB103A"
0,0,0,0,0,"OR51L1"
189,134,186,245,156,"LRRC37A3"
0,1,0,0,0,"AC112778.1"
17,45,20,17,35,"FKBP9P1"
712,546,738,810,645,"VSIG10"
2,2,4,3,3,"MIR7-3HG"
1370,1107,1343,1677,1280,"IRX5"
55,43,35,53,45,"METRNL"
1431,918,1272,1675,1401,"FAM91A1"
4,0,0,0,0,"KRT18P28"
0,0,0,1,1,"GJA1P1"
22,5,17,25,16,"AL358781.1"
1224,1040,1399,1696,1345,"WSB2"
0,0,0,0,0,"AL135901.1"
155,142,204,191,178,"GRIN1"
3045,2498,3219,4499,3818,"SOX11"
2435,2348,2698,3292,2770,"TYMS"
0,0,0,0,0,"OR51G2"
45,46,35,42,29,"PXMP2"
0,0,0,0,0,"OR51A7"
30,24,51,40,37,"TCEANC"
0,0,0,0,0,"OR51T1"
884,708,897,1186,843,"PNMA1"
0,0,0,0,0,"OR51H1"
28,10,29,13,17,"TCIM"
40,38,41,53,38,"MAMSTR"
37,57,57,64,47,"TYMSOS"
3048,2286,3085,3564,3116,"ANKLE2"
125,124,223,178,149,"C8G"
694,646,746,908,642,"FUT2"
0,0,0,0,0,"OR51S1"
0,0,0,0,0,"OR7A15P"
0,0,0,0,0,"OR51F2"
14,9,12,21,10,"EFCAB5"
20,4,16,7,9,"GCNT4"
25,19,21,17,16,"TOB2P1"
0,0,0,1,0,"MUC20"
1834,1568,1937,2379,1978,"THAP4"
0,0,0,0,0,"OR51N1P"
1709,1365,1680,2032,1705,"NFATC2IP"
0,0,0,0,0,"LY6H"
0,0,0,1,0,"RPL7L1P11"
62,45,46,68,107,"FIBIN"
76,77,102,98,76,"FAM89B"
1060,1102,1351,1512,1148,"SHMT1"
3621,3792,4208,4532,3293,"DPP7"
0,0,0,0,0,"TRIM60"
1,0,2,2,1,"AP000679.1"
4615,3768,4854,5902,4594,"SEC24C"
0,0,0,0,0,"FMR1NB"
1891,1093,1439,1954,1795,"SMCR8"
0,0,0,0,0,"HCG4"
510,368,497,551,427,"MTHFR"
0,0,0,0,0,"DEFB104B"
15,13,6,24,11,"C19orf18"
588,561,713,696,578,"DEAF1"
451,372,457,539,458,"MTX3"
619,462,528,764,606,"TMEM80"
387,424,457,467,376,"SIX5"
0,0,0,0,0,"IFNW1"
919,921,1089,1197,911,"FBXO46"
1500,1322,1775,2100,1574,"ZDHHC13"
231,209,229,256,224,"SLC38A9"
37,10,18,44,29,"ACER2"
618,494,614,749,527,"WDR73"
2064,1864,2176,2675,2366,"POLE"
92,76,110,144,91,"PHETA2"
145,116,122,147,137,"SCN4B"
1,5,10,4,6,"DSCAML1"
772,831,945,980,826,"RHOG"
5364,5213,5646,6901,4777,"EPS8L2"
1,0,0,2,1,"ZDHHC22"
0,0,5,5,2,"MRVI1-AS1"
1482,948,1305,1916,1651,"ANO6"
596,483,641,713,613,"ZBTB34"
1,0,0,0,0,"PRDM16-DT"
0,0,0,0,0,"FAM9B"
0,0,0,0,0,"CETN1"
0,0,0,0,0,"NUDT4B"
212,200,199,256,210,"FAM210A"
0,0,0,0,1,"OR2T35"
3420,3287,3883,4405,3803,"TALDO1"
2263,2069,2501,2856,2257,"ULK1"
9,1,6,7,4,"NAP1L4P1"
0,0,0,1,0,"OR14C36"
98,50,67,148,61,"RIMKLA"
0,0,1,1,0,"CLVS1"
0,0,0,0,0,"OR2M7"
702,651,873,962,873,"RPS6KA3"
50,29,45,53,22,"B3GNT8"
958,937,1021,1348,1140,"PUS1"
1,0,2,0,1,"PCNPP5"
823,623,851,1058,824,"CHD9"
0,0,0,0,0,"OR2T12"
0,1,0,0,1,"SPACA4"
0,0,0,0,0,"OR2T33"
2091,1796,2063,2768,2049,"GATD1"
0,0,0,0,0,"OR2M1P"
0,0,0,0,0,"LINC01561"
3,3,3,3,0,"TRIM72"
4108,3662,4109,5150,4005,"MAN1B1"
0,0,0,0,0,"DEFB103B"
0,0,0,0,0,"DEFB4B"
0,0,0,0,0,"ENSAP3"
3,0,0,2,0,"KCNA3"
0,0,0,0,0,"OR2AJ1"
618,627,693,859,720,"FZD8"
0,2,2,1,2,"GJD4"
2,2,1,1,0,"FBXO39"
1,0,0,1,2,"CLDN22"
11,6,8,4,7,"KCNA2"
1645,1271,1721,1896,1550,"TOP3A"
889,969,925,1044,901,"CASKIN2"
0,0,0,0,0,"OR7E125P"
912,553,852,1315,890,"ZBTB38"
0,0,0,0,0,"BEND2"
0,0,0,0,0,"C8orf31"
41,31,51,51,44,"DLGAP1-AS1"
0,0,0,0,0,"LINC00469"
0,0,0,0,0,"AC024940.1"
4,1,2,1,6,"RPL13AP3"
258,205,311,363,301,"CCDC71"
0,0,0,0,0,"C10orf71"
1835,1073,1585,1304,1803,"AC024940.2"
4,6,2,7,9,"LRRN4CL"
0,1,0,4,1,"AC004797.1"
103,84,107,149,116,"TIMM22"
382,502,446,482,439,"HIC1"
1057,975,1025,1154,973,"PPFIA3"
1695,1675,1957,2590,1945,"MAGEF1"
108,109,106,140,84,"UMODL1"
0,0,0,2,0,"OR7E8P"
868,636,958,1003,611,"NINJ2-AS1"
3051,1072,2746,1894,1450,"SAMD9L"
458,391,505,466,431,"ZFAS1"
2,1,1,0,0,"UBE2U"
2,1,5,0,3,"AC006001.1"
1754,1314,1987,2373,1850,"PAWR"
665,603,810,904,714,"TGIF1"
340,336,393,401,308,"MIEF2"
157,95,141,174,108,"NAP1L5"
0,0,0,0,2,"CBX3P1"
0,0,0,0,0,"AL161742.1"
5,5,6,10,2,"NIM1K"
0,0,0,0,0,"CD19"
38,56,51,43,28,"ERICH5"
0,0,0,0,0,"OR2T8"
968,698,916,1058,808,"NR2C2"
2,3,6,0,1,"GPR4"
64,72,87,108,90,"ACOT4"
0,0,0,1,0,"OLIG3"
3676,3435,3455,4977,4717,"CAVIN1"
0,0,0,0,0,"OR2G3"
1811,1493,1840,2221,1874,"ARIH2"
3,5,3,2,2,"RBM44"
992,674,1089,1245,867,"ZBTB33"
0,0,0,0,0,"OR2G2"
0,0,0,0,0,"ZBED2"
0,0,0,0,0,"VCX2"
5563,4656,5768,6734,4887,"IRX3"
0,0,0,0,0,"ST8SIA3"
2,4,3,2,1,"RPRM"
0,0,0,0,0,"OR2B11"
1460,1561,1725,1692,1729,"SLC25A22"
514,498,523,625,510,"RABEP2"
0,0,0,0,0,"NHLH2"
0,0,0,0,0,"C1orf167-AS1"
559,581,681,811,607,"ATOX1"
2,0,1,0,0,"FAM187B"
3999,3160,4474,5327,4225,"TBL1XR1"
348,266,418,474,259,"SAMD12"
3,3,3,5,1,"CD163"
102,72,121,111,83,"C18orf32"
1,0,0,0,0,"OR7E149P"
0,0,0,0,0,"GIMAP3P"
583,755,821,814,678,"PIDD1"
0,0,0,0,0,"AL355390.1"
79,64,70,107,70,"ZNF491"
5561,5649,5967,6982,5822,"RPLP2"
274,178,219,321,333,"HASPIN"
5039,4600,5818,5473,4768,"JUN"
1495,1138,1605,2021,1487,"CSTF2T"
3293,3345,3408,4833,3894,"PGBD5"
1,0,0,0,1,"C12orf54"
1249,1118,1252,1499,1166,"GBA"
21,10,17,22,13,"CASC2"
1160,1097,1381,1521,1131,"ACAD9"
585,519,615,790,542,"IL17RA"
2226,2345,2579,2919,2176,"PNPLA2"
3,0,1,2,2,"MBOAT4"
0,0,0,0,0,"TEX44"
820,778,895,947,756,"AGTRAP"
296,294,430,406,294,"CD163L1"
6,13,8,24,14,"SRRM3"
697,544,771,911,626,"THAP5"
0,0,0,0,0,"DEFB114"
4497,4885,5535,6134,4214,"CRACR2B"
5,1,6,3,3,"SUMO4"
1,1,0,0,1,"MAGEB10"
0,2,4,1,0,"DNAJC28"
0,0,0,0,0,"OR4F4"
452,371,602,749,426,"NAALADL2"
5304,6092,6147,7342,5522,"CD151"
0,0,0,0,1,"AC011944.1"
1348,1502,1481,1769,1467,"POLR2L"
822,664,834,1055,685,"FAM20C"
71,51,57,122,83,"NECTIN3"
3,3,2,4,2,"SLC35G5"
22,23,35,25,22,"ANXA2R"
0,0,0,2,0,"AC105206.1"
1344,1586,1436,1606,1367,"TMEM94"
8218,7857,9272,10976,9126,"FLII"
1260,1076,1317,1780,1344,"SOX12"
4247,3945,4673,5537,4698,"HNRNPA0"
0,0,0,0,2,"FXNP2"
116,85,97,127,138,"AC025171.1"
2,0,1,2,1,"YIPF7"
2,1,0,0,0,"FAM87B"
0,0,0,0,0,"CDKN2AIPNLP1"
0,0,0,0,0,"RPS2P2"
248,150,234,375,251,"AL162595.1"
55,45,91,77,49,"MYOZ1"
0,0,0,0,0,"TMEM78"
0,0,0,0,1,"AC112247.1"
12,2,9,3,5,"KCNJ10"
0,0,1,0,0,"TENM3-AS1"
1270,1254,1389,1540,1222,"CHID1"
329,244,327,342,259,"PCDHB9"
80,81,111,95,78,"ZNF620"
421,242,384,468,409,"ZNF518A"
415,372,530,620,540,"TMEM187"
21,13,12,27,12,"CACYBPP2"
205,208,294,308,232,"SVBP"
89,59,89,111,82,"ZNF619"
8,3,10,4,14,"CCDC184"
1022,1080,1047,1281,1225,"AP3S1"
2432,2534,2554,2960,2554,"GRB2"
685,491,721,934,669,"ZBTB41"
1609,1494,1761,1914,1887,"UBE2N"
0,0,1,0,0,"SPATA31C2"
626,563,746,839,662,"ARL6IP6"
271,209,270,380,287,"ZNF354C"
0,3,3,0,0,"CAPZA3"
1338,1437,1709,1803,1360,"MAMDC4"
335,310,382,441,341,"CENPBD1"
0,0,0,0,0,"ODF3"
1426,1447,1668,1721,1446,"BET1L"
10236,9999,10160,13333,11122,"RPS27"
3125,3018,3657,4036,3377,"RIC8A"
941,814,1053,1239,960,"IMP3"
298,267,335,406,279,"ASB8"
0,1,0,0,0,"LCN15"
1449,1038,1712,1184,751,"ODF3B"
133,97,144,163,117,"DPY19L2"
0,0,0,0,0,"SPATA31E1"
0,0,0,0,0,"ZNRF3-AS1"
2,1,4,2,1,"C2orf73"
2,7,4,4,8,"GPR150"
0,0,1,1,0,"TSPYL6"
354,268,352,470,290,"LRRC75B"
923,714,1010,1171,914,"DMAP1"
30,21,15,31,47,"ADAMTSL1"
1,1,4,3,3,"CALHM5"
2997,2636,3066,3777,2993,"IMPDH2"
897,944,1202,1277,690,"ALS2CL"
1161,951,1375,1793,1325,"MLF1"
10,0,6,5,3,"PRSS42P"
331,286,357,378,352,"NDUFAF3"
336,254,320,425,383,"C2orf69"
389,336,484,607,335,"GRAMD1C"
3103,3024,3638,4116,3227,"STAP2"
0,0,0,0,0,"ULK4P3"
7,11,9,9,10,"TWF1P1"
5,1,1,0,1,"HTR3C"
50,57,64,71,65,"TSSK6"
273,220,275,351,335,"BOLA1"
1085,829,1179,1572,1166,"PDE4DIP"
734,539,727,930,847,"DDX10"
0,0,0,0,0,"AL161668.1"
1,0,0,0,0,"GOLGA8Q"
1,3,5,4,0,"PPP1R42"
1,2,1,1,3,"NDUFV2"
0,0,0,0,0,"FAM27E5"
48,19,27,23,25,"AL672207.1"
214,208,280,301,206,"DALRD3"
95,72,84,112,101,"ZNF114"
427,297,435,627,438,"FAR2P2"
267,237,287,338,257,"ZNF518B"
0,0,0,0,0,"AMER3"
1,0,0,0,0,"SPINK6"
4,3,8,5,2,"ZNF366"
97,73,105,109,119,"LCORL"
160,155,204,198,157,"PARD6G"
123,80,103,179,123,"ZNF454"
1450,1412,1666,1806,1433,"SH2B1"
17,19,17,20,23,"ZC3H12D"
41,28,47,69,50,"VN1R1"
1152,1002,1185,1503,1151,"POGLUT3"
9913,9207,10882,12828,10136,"PLEC"
8,5,14,8,9,"SH2D4B"
0,0,0,0,0,"RNF212"
35,17,44,34,26,"PRSS36"
90,87,105,119,90,"ZNF543"
35,26,25,43,20,"TMEM151B"
518,458,584,732,493,"GALNT11"
105,61,60,84,83,"SLITRK1"
0,0,0,0,0,"C9orf62"
0,0,0,0,0,"FAM230I"
4279,3907,4549,5507,4139,"WDR6"
0,0,0,0,0,"PRM3"
0,0,0,0,0,"TNP2"
0,0,0,0,0,"SPAG11A"
1380,1019,1315,1807,1506,"GEN1"
4,8,10,4,4,"TMPRSS9"
12,7,6,10,6,"AQP11"
752,735,823,1020,774,"TMEM11"
394,325,374,504,345,"ZNF354B"
2,2,4,3,7,"KCNG2"
11,6,7,11,9,"SHISA3"
0,0,0,0,0,"OR2D3"
0,0,0,0,0,"CALML3"
2946,3250,3445,3646,2783,"CALML5"
295,219,362,333,326,"ZFAND2A"
306,214,273,366,279,"PLEKHM3"
20,18,20,32,26,"ZNF223"
0,0,0,0,0,"HTR1A"
14,3,10,5,5,"CCDC185"
0,0,0,0,1,"FAM220A"
585,469,580,783,464,"DNAJC22"
4,2,4,2,4,"NEUROG2"
6,8,4,2,10,"CEP295NL"
550,383,455,775,582,"BEND3"
0,0,0,0,0,"AC068473.1"
419,375,495,612,458,"NT5DC1"
1,0,1,0,0,"RPS3AP5"
23,12,24,21,23,"TIMM23B-AGAP6"
568,474,573,699,581,"GLDC"
164,182,199,176,171,"COX14"
0,0,0,0,0,"LINC00314"
104,134,171,90,175,"H3P16"
15,16,28,34,26,"MCMDC2"
8,10,7,10,5,"TUBAL3"
53,63,63,69,72,"RPL10P16"
833,757,946,1021,744,"P4HTM"
0,0,0,2,0,"UCN3"
857,880,963,1088,879,"DTX3"
66,35,40,63,75,"KLHL11"
8,11,4,9,7,"NECAP1P1"
1,0,0,0,1,"AMBN"
1586,1698,1871,2263,1962,"CTXN1"
296,226,278,319,309,"SLC25A20"
462,279,604,605,546,"CA8"
0,0,0,0,0,"CKS1BP6"
5,2,3,4,2,"CD28"
498,399,508,642,472,"EPM2AIP1"
1,5,4,2,5,"ERBB4"
668,1047,830,638,1153,"MAF"
715,703,781,939,745,"CTNNBIP1"
0,0,0,0,0,"OR6B3"
0,0,0,0,0,"DEFB125"
0,0,0,0,0,"GAPDHP29"
2,0,0,0,0,"PSAPL1"
0,0,0,0,0,"OTOS"
0,0,0,0,0,"GTPBP6"
691,584,692,859,663,"ERN1"
113,117,141,172,112,"GPR35"
8,7,18,12,4,"ACTG1P1"
13,11,9,3,3,"AC092656.1"
0,1,0,0,0,"C10orf53"
42,56,22,26,44,"PPIAP33"
3,2,0,1,4,"ARMC10P1"
55,73,92,111,55,"CSRNP3"
130,87,100,158,134,"ZNF713"
3780,2360,3873,3124,2427,"PARP10"
0,0,0,0,0,"DYNAP"
1201,895,1188,1431,1354,"SUZ12"
189,157,204,291,207,"NSUN3"
391,261,402,461,482,"KCTD12"
129,85,145,172,126,"DHFR2"
0,0,0,0,0,"AL450998.1"
1017,868,1037,1304,1065,"RPP25"
3375,2740,3325,3488,2932,"GRINA"
0,0,2,0,0,"C5orf64"
2,0,4,1,0,"GLULP4"
137,122,119,185,125,"THBD"
4,0,3,0,0,"GP5"
2,0,0,0,0,"LMO7DN"
1779,1740,1897,2038,1804,"COX5A"
68,61,77,86,69,"STX19"
57,56,47,80,60,"ERFE"
1006,919,1103,1310,1084,"FAM219B"
0,0,0,0,0,"H2BC2P"
1709,1347,1954,2443,1996,"ZHX2"
0,0,1,0,0,"CPN2"
1525,1289,1729,1688,1489,"CPNE7"
158,121,185,168,157,"C5orf46"
0,0,0,0,0,"CD300LB"
0,0,0,0,0,"GDPD4"
1,1,0,0,1,"RIIAD1"
279,316,394,424,301,"MPI"
3,1,3,2,5,"ADORA2A-AS1"
0,0,0,0,0,"H1-8"
9,9,19,11,8,"TRIM73"
334,280,323,292,263,"OPLAH"
143,160,220,183,168,"TMEM52"
19,14,13,15,11,"TMEM139"
1,1,1,6,1,"RNF186"
0,0,0,0,0,"AC114812.1"
31,23,30,51,28,"EFCAB13"
0,0,0,0,0,"MSC"
471,326,527,792,592,"APOLD1"
28,13,18,21,37,"RFLNA"
407,378,432,500,476,"EXOSC4"
931,693,998,1220,902,"DPY19L3"
1782,1467,1952,2481,1840,"TAF7"
46,16,19,55,48,"ZNF852"
5,1,3,4,3,"FOXE1"
1053,799,1144,1425,1204,"PFAS"
324,312,379,486,322,"HYI"
1169,1239,1274,1326,1038,"CYBC1"
0,0,0,0,0,"TPRX1"
11,11,11,10,11,"LGALS7B"
309,274,366,411,286,"ZNF552"
9,5,4,13,2,"SMIM10L2A"
1383,1292,1599,1757,1354,"GAK"
2672,2507,2799,3505,2632,"ZBTB7A"
2629,2577,2976,3510,2905,"TUFM"
0,0,0,1,2,"ERICH3"
582,474,697,795,760,"RMI1"
1139,934,1234,1438,1119,"CTC1"
814,658,928,1163,733,"FBXO34"
13,17,23,18,15,"LINC00324"
2333,2288,2474,3086,2474,"SELENOW"
1801,1703,1919,2269,2060,"EIF3K"
537,451,561,799,565,"MRFAP1L1"
983,613,872,1133,961,"SNX18"
2,2,1,2,3,"EXD1"
1003,996,967,1383,1244,"AURKB"
0,0,0,0,0,"TAS1R2"
0,0,0,1,1,"C14orf39"
1612,1457,1782,2098,1695,"MRFAP1"
360,262,396,438,351,"C3orf38"
1,1,0,0,1,"KLHDC7A"
0,0,0,0,0,"AC245177.1"
154,165,178,176,156,"TMEM107"
0,0,0,0,0,"NSA2P3"
0,0,0,0,0,"AP001885.1"
611,556,625,860,703,"RRS1"
125,58,97,80,44,"EXOC3L1"
11,15,8,14,10,"TRIML2"
9173,7520,9399,10646,9131,"RCC2"
0,0,0,0,0,"OR13D1"
40,70,46,55,31,"IGSF22"
4,3,4,10,7,"C9orf50"
0,0,0,0,0,"ZFP42"
436,301,346,492,449,"AC020907.1"
32,25,59,40,43,"CCDC89"
0,0,0,0,0,"TAAR3P"
0,0,1,0,0,"C9orf106"
0,0,0,0,0,"FAM133A"
188,193,194,224,195,"DPM3"
1,0,0,0,0,"C12orf42"
1770,1608,1953,2052,1795,"CYC1"
488,464,502,671,596,"PER1"
0,0,0,0,0,"HTR1F"
14,11,22,14,12,"H3P47"
196,108,149,225,153,"TMTC2"
166,120,203,201,186,"HES7"
2088,2004,2187,2667,2315,"FARSA"
993,646,1008,1287,1024,"SPTY2D1"
129,195,159,135,168,"AC073335.1"
1,2,0,1,5,"C10orf67"
3199,2778,3366,4182,3619,"SAMD4B"
0,0,0,0,0,"LINC00670"
1,2,2,2,3,"MTUS2-AS1"
0,0,0,0,0,"CYP11B2"
0,0,0,0,0,"GIMAP7"
24,19,36,33,29,"ALOXE3"
884,778,972,1037,973,"EDC3"
417,383,562,619,484,"TCAIM"
0,0,0,0,0,"RPS2P28"
111,102,135,131,105,"FUCA1"
0,0,2,1,0,"PXT1"
41,46,45,58,30,"GGN"
0,0,0,0,0,"OR7E97P"
1,2,2,0,0,"HNRNPCL1"
415,376,445,542,423,"TMEM125"
3515,2424,3502,4832,3660,"ZNF664"
0,0,0,1,0,"SIGLECL1"
23919,17238,20787,28467,22453,"CALR"
