"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
324,343,391,"TJP2"
67,25,38,"ECRG4"
3107,3455,4589,"ITGB1BP1"
3336,3404,4160,"CPSF3"
1166,1181,1268,"PIGZ"
4718,5065,6380,"SENP5"
172,205,249,"CCDC92"
4415,4365,6136,"C1orf198"
1,1,1,"TRIM67"
3393,4280,4762,"HEATR1"
8544,9133,10228,"PTBP3"
10141,10732,13384,"RAD23B"
3183,3122,3395,"FKBP15"
1335,1374,1888,"CTNNAL1"
1175,1159,1488,"ABITRAM"
7008,7623,10270,"WDR34"
27802,31157,39281,"SET"
8862,8855,11705,"PTPA"
3178,3182,4375,"GLE1"
4876,5183,5901,"RAB14"
2911,3058,3784,"CNTRL"
957,978,1058,"TRIM32"
3990,4420,5039,"FBXW2"
2823,2832,3964,"PHF19"
1469,1731,1911,"NEK6"
6834,6976,7687,"BSPRY"
2059,2377,2882,"PPP6C"
1178,1301,1764,"NDUFA8"
2044,1696,2121,"HDHD3"
73,84,87,"LCN1P1"
1610,1620,2001,"RBM18"
2,1,0,"SLC46A2"
1593,1641,2019,"HSDL2"
4405,4530,5955,"MAPKAP1"
6,28,23,"NR4A3"
382,500,685,"INVS"
424,366,435,"GALNT12"
1945,1875,2183,"DENND1A"
1208,1441,1847,"ALG2"
16,4,11,"CSF3R"
1162,1239,1540,"KDSR"
1947,1998,2307,"VPS4B"
96,119,233,"ONECUT2"
954,923,1397,"C19orf25"
603,593,754,"ZBTB45"
3171,3252,4272,"YLPM1"
1579,1558,2030,"DCAF4"
0,0,0,"PROX2"
0,0,0,"VSX2"
1782,1811,2283,"FCF1"
27,29,19,"PGF"
292,230,232,"IFI27L2"
266,181,235,"BBOF1"
1617,1747,2276,"NEK9"
261,313,405,"ACYP1"
274,355,391,"IFT43"
983,1123,1240,"NPC2"
0,0,0,"DPPA5P4"
513,516,664,"DNAL1"
4141,2787,4804,"IRF2BPL"
206,176,246,"ACOT2"
328,437,383,"LTBP2"
2077,2148,2471,"AREL1"
691,688,774,"MLH3"
1625,1516,2056,"TTLL5"
93,105,180,"FLVCR2"
946,1031,1299,"ABCD4"
3155,3349,3892,"DLST"
314,254,311,"PPP4R4"
136,186,269,"TGFB3"
95,112,125,"ZC2HC1C"
1037,1007,1515,"SLIRP"
3957,4691,5374,"RBM25"
752,714,1025,"ALDH6A1"
21,15,15,"GPR68"
8,6,2,"ESRRB"
433,518,648,"EIF2B2"
684,638,866,"NRDE2"
412,383,480,"COQ6"
18,28,21,"ZNF410"
2180,2223,2603,"RHOQ"
183,233,266,"GPR75"
2861,3245,3926,"SUPT7L"
61,81,97,"KLHL29"
5169,5055,6687,"DNMT3A"
4164,4628,5382,"TMEM214"
1034,1237,1411,"ATAD2B"
8,3,2,"FKBP1B"
12118,12639,15433,"ATL2"
1568,1657,1751,"YPEL5"
2730,3321,4111,"FAM98A"
3108,3487,4616,"YIPF4"
1251,1493,1640,"AFTPH"
963,961,1363,"LGALSL"
2,2,2,"CNRIP1"
1306,1370,1737,"BCL11A"
937,1069,1221,"CRIPT"
10941,12031,14793,"EPCAM"
776,798,852,"SLC17A5"
2121,2177,2256,"OGFRL1"
530,557,685,"SLF2"
572,601,778,"IDE"
0,0,0,"TECTB"
0,0,0,"ELOVL3"
339,133,64,"IFIT3"
0,0,0,"NKX2-3"
469,310,191,"IFIT2"
309,368,501,"GPAM"
190,145,176,"CUTC"
21,10,19,"PPP1R3C"
119,121,137,"PYROXD2"
332,303,350,"CNNM1"
1312,1121,1318,"MXI1"
463,471,580,"SMNDC1"
298,290,422,"C10orf88"
1486,1382,1662,"HELLS"
0,0,0,"PRLHR"
535,539,711,"TCTN3"
540,552,693,"DENND10"
54,59,107,"AVPI1"
2440,2509,2743,"WDR11"
622,527,621,"ARMH3"
62,56,73,"KCNIP2"
14,8,17,"CFAP58"
403,346,531,"GOT1"
0,0,0,"CPN1"
22,19,23,"C10orf95"
0,0,0,"SFRP5"
3325,3769,4124,"GNA13"
5,4,4,"HOXB8"
708,699,829,"KANSL1"
4,4,8,"HOXB5"
0,1,0,"CRHR1"
9,19,20,"HOXB3"
0,0,0,"HOXB1"
637,457,785,"DUSP1"
2218,2688,3280,"PANK3"
0,0,0,"MSX2"
13,21,26,"TEK"
644,647,892,"RCL1"
605,556,741,"CAAP1"
0,0,0,"EQTN"
876,878,976,"MOB3B"
0,2,0,"INSL6"
0,0,0,"INSL4"
0,0,0,"MLANA"
5,2,4,"CD274"
0,0,0,"IFNA6"
0,0,0,"IFNA8"
0,0,0,"GRIA2"
2361,2668,3120,"NUP43"
3557,4104,4750,"MTHFD1L"
401,425,469,"LRP11"
7,1,3,"CCDC170"
3891,4691,5305,"PCMT1"
2878,3310,2499,"PLEKHG1"
0,0,0,"MYCT1"
0,0,0,"CXorf21"
3,10,4,"MAGEB4"
645,673,713,"CYSTM1"
1454,1412,1774,"WDR55"
1468,1611,1690,"ARAP3"
2,0,1,"PCDHB8"
344,408,447,"PCDHB10"
420,493,527,"PCDHB14"
12,13,4,"PCDHB12"
2,0,1,"SLC25A2"
0,3,0,"TNN"
956,1017,1303,"MRPS14"
612,614,810,"CENPL"
34,25,72,"TNFSF18"
16,11,9,"SEC16B"
790,838,902,"GORAB"
7,4,1,"GPR31"
5765,5520,8168,"ACAT2"
17315,18021,23411,"TCP1"
0,0,0,"TTLL2"
2140,2531,2853,"SNX19"
11,18,26,"KCNJ5"
733,1117,1256,"MSANTD2"
7,8,6,"TP53AIP1"
0,0,0,"TEX11"
1,0,0,"ARR3"
977,1066,1333,"PDZD11"
330,376,485,"SLC10A7"
1392,1604,2228,"NUDCD1"
2242,2402,3019,"ENY2"
2273,2043,2557,"MASTL"
5625,5934,6023,"KIAA1217"
32,19,33,"SEPTIN7P9"
0,0,0,"LYZL1"
5818,6247,7442,"PLXDC2"
1882,1807,2086,"EPC1"
405,550,585,"IQSEC3"
2212,2296,3467,"CCDC77"
307,327,482,"TAF12"
5,17,20,"ENOX1"
7,2,0,"TNFSF11"
412,460,601,"MTRF1"
30,30,41,"SPART-AS1"
17,21,31,"SOHLH2"
803,961,1156,"DNAJC15"
3324,3553,4768,"PROSER1"
2259,2405,2744,"UFM1"
434,434,553,"WBP4"
2304,2487,2793,"ELF1"
78,75,50,"SMAD9"
3913,5219,6955,"HSPH1"
444,530,521,"KBTBD7"
587,594,813,"ALG5"
949,976,1355,"EXOSC8"
4859,5142,6464,"ETF1"
2510,1851,2335,"TGFBI"
3394,3897,4581,"FAM53C"
760,845,1024,"SIL1"
1604,1770,2352,"PAIP2"
0,0,0,"MYOT"
5210,5037,5948,"KDM3B"
870,719,1465,"EGR1"
11765,13790,15497,"SERP1"
1843,2115,2431,"PLS1"
821,1059,1200,"ZFP30"
420,447,490,"NR2C1"
1287,1536,1567,"UTP20"
5618,5728,7984,"TMPO"
1907,2098,2214,"ARL1"
16,16,22,"GLT8D2"
464,510,625,"MTERF2"
10,23,21,"SOCS2"
1185,1150,1424,"NFYB"
817,742,941,"WASHC3"
1271,1480,1291,"APAF1"
739,811,1064,"DUSP4"
508,475,512,"CLU"
4283,4728,5730,"TNFRSF10B"
4659,4868,5924,"SORBS3"
468,466,534,"PTK2B"
0,0,1,"CHRNA2"
0,0,0,"ADRA1A"
485,530,620,"PPP3CC"
640,520,716,"PDLIM2"
386,387,509,"EPHX2"
621,635,680,"RNF170"
0,0,0,"NPPB"
595,552,781,"UBIAD1"
3022,3288,4026,"TARDBP"
9,13,12,"TNFRSF8"
0,0,0,"PRAMEF2"
1642,1791,2225,"ZNF706"
2752,3238,3524,"LYPLA1"
656,586,382,"CRISPLD1"
1079,1207,1536,"COPS5"
1050,995,1029,"RDH10"
0,0,0,"EPX"
5477,5799,7095,"AKAP1"
766,747,958,"COIL"
3995,4145,4640,"TRIM25"
2905,2611,3054,"SCPEP1"
492,462,693,"SPOP"
3,7,13,"TBX2"
636,680,775,"SLC35B1"
21,32,40,"TBX4"
6,6,10,"NACA3P"
44,49,44,"TEX14"
350,295,392,"FAM117A"
2354,2024,2990,"NCAPH"
232,278,327,"LRAT"
1661,1761,2225,"TMEM131L"
229,205,333,"MND1"
471,483,585,"TRIM6"
8,9,13,"ABCC11"
842,911,1241,"TENT4B"
2981,3816,4950,"ADCY7"
2228,2227,3220,"CEP89"
3,11,15,"TSHZ3"
3316,3392,4100,"ECHDC2"
0,0,0,"TAS2R8"
4660,4582,4958,"PLBD1"
0,0,0,"TAS2R10"
0,0,0,"PRB2"
455,424,534,"PYROXD1"
0,0,0,"IAPP"
4,6,7,"KCNJ8"
0,0,0,"TAS2R7"
3275,3441,3600,"BCL2L14"
0,0,0,"TAS2R9"
0,0,0,"AL139327.1"
2102,1943,2332,"PSPC1"
361,414,463,"ZNF549"
19,20,30,"A1BG"
2023,2068,2689,"ZSCAN18"
289,333,406,"ZNF211"
567,480,642,"PDZRN3"
0,0,0,"RGSL1"
36,26,20,"LHX4"
1547,1599,1920,"RNF2"
951,1051,1427,"TRMT1L"
281,283,325,"SEC22A"
41,38,49,"CSTA"
0,0,0,"DPPA4"
24,15,13,"POPDC2"
791,719,918,"B4GALT4"
8129,8456,10104,"NAA50"
0,2,0,"CD80"
826,745,1205,"KIF18A"
0,0,0,"GJA8"
4880,5688,6441,"DESI2"
569,720,840,"MAPK8IP1"
770,816,928,"CRY2"
478,437,599,"PEX16"
146,197,274,"DEPDC7"
1634,1865,2311,"CAT"
607,556,808,"PILRB"
3647,4089,4600,"ZMYM2"
5,5,2,"GJB6"
1,3,2,"GJA3"
1007,1003,1197,"TBC1D15"
136,159,169,"ADGRB2"
1,0,1,"HCRTR1"
1218,1263,1539,"ZCCHC17"
57,55,36,"FABP3"
8804,8588,11824,"KHDRBS1"
696,750,1083,"TMEM39B"
0,0,0,"CCRL2"
0,0,3,"CCR2"
220,208,224,"POLR3GL"
0,0,0,"GHSR"
2573,3160,2073,"TNFSF10"
2382,2270,2815,"ZNF639"
0,0,0,"SLITRK3"
2149,2571,2917,"PIK3CA"
5191,6134,6831,"PDS5A"
0,0,0,"TMEM156"
228,204,313,"LIAS"
57,95,132,"CPXM2"
1999,1983,2422,"TMEM54"
301,341,309,"ZSCAN20"
88,52,21,"CSMD2"
25,18,15,"HPCA"
803,1008,1178,"LRIF1"
0,2,0,"TMIGD3"
2084,2152,2780,"CLCC1"
3719,3934,4894,"GPSM2"
1555,1311,1578,"GTDC1"
1437,905,821,"CXCR4"
290,257,395,"ZRANB3"
636,569,771,"ACVR2A"
478,587,652,"POLK"
53,47,63,"SV2C"
0,1,0,"FLT3"
8580,8313,11569,"RPL21"
866,932,1041,"MTIF3"
3263,3338,4169,"GTF3A"
13,14,7,"RASL11A"
611,682,793,"UBL3"
0,0,0,"LINC00544"
6173,7204,8046,"FYTTD1"
1562,1656,2030,"MTERF4"
0,0,0,"XPNPEP2"
3,0,2,"SASH3"
1361,1408,1786,"OCRL"
1,1,0,"PAEP"
11,7,11,"OBP2A"
2213,2370,3319,"MRPS2"
0,0,1,"TBX22"
7,12,15,"FMOD"
0,0,0,"MYOG"
2,2,1,"LAX1"
0,0,0,"PLG"
3928,4283,5277,"KIAA1191"
13470,14275,15781,"COPA"
0,0,1,"CD244"
0,0,0,"LY9"
0,0,0,"HS3ST2"
2833,3248,3863,"RBBP6"
1872,1706,2064,"ZC3H7A"
0,0,0,"PRM2"
1837,1942,2331,"SERAC1"
6856,7022,7397,"ANXA11"
10,13,21,"LDB3"
0,0,0,"OPN4"
1422,1616,2023,"SHLD2"
5198,5403,7063,"PRXL2A"
801,797,916,"ZNF205"
1083,1117,1337,"NAA60"
17469,17893,22483,"RPL5"
3384,4395,4952,"ODF2L"
1,1,10,"PTGFR"
18,32,30,"SPATA1"
612,829,1011,"TRMT13"
64,30,46,"LRRC39"
150,173,206,"RWDD3"
2086,2771,3109,"ZNF644"
513,585,739,"CCDC18"
887,1061,1224,"RPAP2"
1424,1338,1640,"SLC66A2"
341,348,404,"BBS9"
450,404,514,"PMS2"
8239,7715,8983,"ZMIZ2"
3,1,4,"OCM"
4577,5236,6253,"SEPTIN7"
93,116,195,"EEPD1"
0,0,0,"KIAA0087"
988,1037,1270,"KLHL7"
817,848,958,"HERPUD2"
6426,6704,7919,"CBX3"
28346,31815,41820,"HNRNPA2B1"
281,414,463,"WIPF3"
0,0,0,"NXPH1"
0,0,0,"NPY"
756,1142,1257,"FAM126A"
46,133,136,"HOXA7"
613,664,921,"INHBA"
4150,3743,4543,"FKBP9"
993,1082,1365,"NT5C3A"
191,215,279,"ARL4A"
748,801,959,"CCZ1"
568,480,581,"POLM"
0,0,0,"RAMP3"
4,7,5,"MRM2"
19,26,61,"TWIST1"
1833,1858,2454,"SMU1"
1740,1686,2273,"GLIPR2"
319,385,418,"SLC25A51"
2873,2985,3810,"CLTA"
222,227,256,"RECK"
0,0,0,"SPINK4"
1,0,2,"TAF1L"
872,899,1130,"ACO1"
18,35,34,"PHF24"
16,13,17,"DNAI1"
918,1134,1319,"DCAF10"
103,175,213,"CNTFR"
1421,1581,1778,"KIAA1549"
2331,2184,2537,"TRIM24"
1573,1464,1671,"CYREN"
10324,12211,15793,"CALD1"
0,1,0,"AKR1D1"
1,5,2,"NUDT10"
0,0,0,"SFTPA1"
0,0,0,"NEUROG3"
3968,3525,3765,"PLAU"
3,2,0,"SRGN"
1523,1944,2075,"CHST3"
181,336,224,"BICC1"
0,0,0,"ARL4AP1"
1408,1714,2113,"CISD1"
23,22,51,"EGR2"
1389,1421,1753,"ECD"
4288,3929,4549,"P4HA1"
1263,1190,1407,"SLC25A16"
3914,3814,5420,"ZWINT"
3629,3945,4896,"VPS26A"
1180,1236,1617,"RBM19"
1930,1798,2467,"CIT"
631,715,848,"IFT81"
517,405,528,"ACADS"
116,105,118,"HVCN1"
2,0,0,"NME2P1"
2832,2876,4266,"DDX54"
2190,2463,2976,"MED13L"
1264,1112,1513,"CDKN2C"
4560,4958,5656,"RNF11"
525,687,669,"RASSF8"
670,496,734,"BHLHE41"
628,747,803,"SSPN"
5678,6274,6087,"ITPR2"
1168,1108,1422,"CCDC91"
6,6,7,"NECAB1"
1996,2241,2428,"WWP1"
1913,2139,2454,"ACOT9"
2207,2346,2922,"PRDX4"
6136,5178,7374,"DDX39A"
15747,13190,18018,"PKN1"
5894,6376,8429,"TRIR"
2967,3850,4636,"ADGRE5"
337,321,385,"WDR83"
15312,14895,18809,"GIPC1"
0,0,0,"ACTRT1"
0,0,0,"CCDC70"
288,254,393,"SPRYD7"
799,908,1191,"EBPL"
236,299,308,"ATP7B"
1873,2188,2629,"ZC3H13"
2,0,0,"GUCY1B2"
1550,1871,1986,"NLN"
527,574,659,"CENPK"
6133,6113,6414,"OPTN"
1,0,0,"ITIH5"
520,559,728,"ATF1"
10,16,21,"TSFM"
0,0,0,"NEUROD4"
9,12,20,"ARHGAP9"
62,76,96,"NCKAP1L"
4,3,7,"MMP19"
2975,3005,3821,"PFDN5"
1652,1678,2278,"SPATS2"
528,474,443,"ORMDL2"
1180,1046,1378,"NR4A1"
7,8,7,"PDE1B"
73,143,114,"HOXC13"
3234,3248,4057,"CDK2"
1955,2006,1868,"LRP1"
212,244,221,"HOXC11"
860,973,1290,"ATG101"
38,49,33,"NFE2"
328,486,365,"HOXC12"
435,366,458,"IKZF4"
523,475,554,"SMUG1"
26261,26166,37567,"TUBA1B"
291,212,250,"EEF1AKMT3"
582,563,652,"KBTBD4"
0,0,0,"TYRL"
1,1,0,"SARDH"
0,0,0,"DBH"
1511,1472,1964,"ATPAF1"
2217,2351,2755,"STIL"
2206,2257,2737,"HJURP"
0,2,3,"IL13RA2"
0,1,0,"COL10A1"
7883,7901,9342,"AMD1"
405,461,682,"NDUFAF4"
314,426,455,"USP45"
14,2,11,"PLP1"
0,0,0,"SERPINA7"
6779,7452,8244,"MORF4L2"
0,0,0,"H2BW1"
139,149,184,"RAB9B"
6,14,1,"NRK"
1176,1514,1609,"FAM199X"
38,46,146,"ESX1"
0,0,0,"MAGEA9"
0,0,0,"ATXN3L"
597,737,847,"RAB9A"
1797,1926,2317,"METTL8"
887,798,1169,"TTC21B"
1314,1278,1714,"NMI"
19,16,15,"TNFAIP6"
2,2,2,"ACVR1C"
1841,1866,2075,"BAZ2B"
805,1025,1237,"SLC36A1"
3270,3717,4008,"LPGAT1"
126,147,170,"BATF3"
12,9,14,"G0S2"
2,2,1,"KCNJ2"
1002,1073,1382,"RAP2C"
1617,1489,1879,"EXOSC9"
952,928,1140,"PLA2G12A"
60,66,72,"B9D2"
702,653,758,"COQ8B"
1120,981,1132,"PFKFB2"
1,2,0,"C4BPA"
0,1,1,"C4BPB"
302,399,472,"ZNF137P"
405,345,460,"RAB38"
3,4,8,"GPR83"
3067,3809,4448,"AGO2"
908,1036,1266,"MXD4"
24,15,26,"PMS2P5"
2503,2742,3996,"CKS2"
1,1,1,"DAW1"
4809,4573,5084,"ACSL3"
4155,4107,4951,"CHPF"
1948,1855,2491,"DNPEP"
189,106,114,"INHA"
12,9,6,"MOGAT1"
12037,8594,12038,"OBSL1"
34,34,34,"FAM124B"
1518,1484,2142,"SLC12A4"
887,932,1196,"ENKD1"
0,0,0,"MC3R"
0,0,1,"GCNT7"
0,0,0,"CTCFL"
35,29,51,"HMGB1P1"
5626,5685,7568,"FAM210B"
17,25,22,"PI3"
6,4,7,"FAM209A"
678,699,781,"SNX21"
5757,5741,4989,"SLPI"
40,48,55,"WFDC3"
1292,1416,1879,"TTPAL"
1551,2035,3036,"PREX1"
47,44,64,"KCNS1"
1,14,4,"SLC12A5"
489,416,349,"ARHGAP40"
4673,4702,6003,"SDC4"
1753,2275,2180,"NCOA3"
2551,2524,3089,"PIGT"
0,0,0,"SEMG2"
43,35,53,"MATN4"
2495,2883,3911,"NCOA5"
4254,4114,5201,"VAPB"
905,838,1061,"PARD6B"
4363,4439,6021,"ATP5F1E"
2055,1980,2139,"CHD6"
6423,6025,8007,"PLCG1"
31,49,37,"TOX2"
4292,4777,5750,"SRSF6"
0,0,3,"GDAP1L1"
0,0,0,"GTSF1L"
2277,2503,2883,"ARFGEF2"
2570,2555,2466,"ZNFX1"
0,0,0,"ZNF831"
0,0,0,"EDN3"
6099,6036,8517,"CSE1L"
0,0,0,"TMEM189-UBE2V1"
2631,2595,3215,"RAB22A"
298,273,378,"PTGIS"
6826,6816,9238,"STAU1"
59,68,71,"CDH26"
269,298,433,"SNAI1"
497,494,643,"MOCS3"
4282,3620,4485,"STX16"
11,10,10,"PPP4R1L"
2356,2067,2779,"PMEPA1"
4873,4853,6317,"RNF114"
0,0,0,"ANKRD60"
3676,3471,5180,"DDX27"
0,1,1,"RBPJL"
0,0,0,"SEMG1"
0,0,0,"C20orf85"
139,140,165,"BCAS4"
27,34,31,"KCNK15"
13,6,3,"TP53TG5"
0,0,6,"PCK1"
53,13,11,"ZBP1"
114,84,166,"NEURL2"
1538,1679,1991,"MAGEA10"
1276,1542,1777,"MTRR"
468,498,618,"FASTKD3"
2643,2396,3288,"PEPD"
1,7,3,"CHST8"
511,454,536,"IQSEC2"
0,0,0,"VAMP7"
0,0,0,"IL9R"
361,387,564,"XG"
937,869,1050,"STAMBP"
1960,2427,2710,"NAGK"
342,438,472,"MCEE"
1270,1281,1435,"PAIP2B"
374,435,567,"SNRNP27"
1518,1622,2027,"MPHOSPH10"
0,3,1,"IL17C"
0,0,2,"NDUFB4P12"
37,56,46,"ATP8A1"
12961,12501,15778,"USP22"
542,522,505,"POF1B"
125,62,54,"HIF3A"
255,277,349,"ZNF576"
0,0,0,"IRGC"
286,359,420,"ZNF45"
1827,1554,1522,"LYPD3"
0,0,0,"PSG8"
0,0,0,"CEACAM8"
3,0,1,"NDP"
2979,3267,3733,"USP9X"
0,0,0,"CRISP2"
4,4,4,"F13A1"
17,15,34,"GRM4"
398,381,420,"TRERF1"
70,39,38,"PACSIN1"
659,688,747,"BTN2A2"
651,714,872,"SIRT5"
1513,1422,1837,"MRS2"
2527,2665,3769,"WRNIP1"
1632,1689,2390,"RRP36"
241,243,259,"BTN2A3P"
1,1,1,"BTN1A1"
2315,2537,3331,"SNRPC"
0,0,0,"SLC17A3"
0,0,0,"SLC17A1"
1664,1748,2117,"SERPINB6"
4596,4814,6197,"XPO5"
1560,1593,2057,"ABCC10"
0,0,4,"H1-3"
1453,1928,2509,"PEX6"
743,807,1020,"NQO2"
60,66,52,"AL365205.1"
524,445,586,"OARD1"
55,33,44,"UNC5CL"
1624,1608,2058,"AARS2"
0,1,3,"H1-1"
606,748,744,"ZNF391"
42,22,28,"RPS10"
140,156,230,"MOCS1"
11,4,9,"H2BC11"
779,821,968,"MED20"
35,78,83,"OR2B6"
1021,986,1179,"TBCC"
24,9,36,"SPDEF"
0,0,0,"TCP11"
803,815,957,"MAD2L1BP"
1,0,0,"APOBEC2"
6237,5899,7677,"KLHDC3"
8,12,26,"GNMT"
2,0,2,"DNAH8"
0,0,0,"TREM1"
1304,1385,1678,"MEA1"
176,153,202,"KLHL31"
1,0,2,"COL21A1"
89,116,101,"CDKN1A"
5614,4435,5128,"SOX4"
4375,4238,5128,"GLO1"
19,15,11,"CPNE5"
4,5,6,"KCNK17"
2921,3384,3522,"RREB1"
3519,3814,4598,"SSR1"
994,1290,1665,"RIOK1"
84,89,77,"NRN1"
664,735,862,"SLC35B3"
406,480,629,"RPP40"
770,989,1079,"ATXN1"
2772,3527,4218,"NUP153"
8236,8298,10023,"DEK"
158,232,264,"EEF1E1"
0,0,0,"CRISP1"
418,358,492,"RUNX2"
0,0,0,"OPN5"
0,0,0,"GCM2"
4387,4740,5239,"LRRFIP1"
3,4,0,"AC105760.1"
1324,1199,1450,"RAB17"
398,555,356,"CXCL6"
1,2,1,"EREG"
1,0,0,"TRIM51"
1,1,3,"MYRF-AS1"
759,740,752,"MYRF"
0,0,0,"SCGB1D2"
1,0,0,"SCGB2A1"
28052,31733,28312,"AHNAK"
714,799,1042,"EMC3"
45,29,57,"SSUH2"
0,0,1,"WNT1"
41,10,13,"SH3TC1"
10761,10667,12316,"CNOT1"
25,28,22,"LRRC29"
1929,1640,1933,"BBS2"
233,229,361,"MT1G"
914,646,724,"MT2A"
1105,1310,1643,"C16orf70"
5000,5084,6875,"GOT2"
810,895,1122,"DOK4"
0,0,0,"PIWIL1"
2,1,1,"GPR18"
77,73,89,"CLYBL"
865,808,970,"TMTC4"
1603,1915,2320,"RAP2A"
0,0,0,"SLC10A2"
690,850,964,"ABCC4"
674,1059,961,"EFNB2"
0,0,0,"SOX21"
5986,6843,7955,"TM9SF2"
222,201,295,"HROB"
64,60,72,"KIF25"
538,476,565,"IRF1"
747,702,916,"UPF3B"
378,371,393,"RNF113A"
671,786,938,"SEPTIN6"
3,2,2,"TMEM255A"
981,979,1420,"NDUFA1"
0,0,0,"AMELX"
500,392,601,"DMAC2L"
6,6,8,"BMP4"
8,1,5,"PTGER2"
0,0,1,"AL161781.1"
634,670,775,"FAM193A"
27,42,39,"GRK4"
11300,7654,13101,"SOX9"
16,16,20,"TEKT3"
17,18,0,"MYH2"
5,3,7,"HS3ST3B1"
473,359,423,"SLC25A35"
1190,1294,1887,"MRPS7"
1999,2022,2646,"GGA3"
254,328,457,"ARMC7"
2068,1898,2459,"NUP85"
435,475,787,"SLC25A19"
308,287,329,"MIF4GD"
432,448,585,"NT5C"
779,673,815,"MSTO1"
43,120,97,"C1orf61"
1251,1244,1427,"TTF1"
3709,4082,4666,"GTF3C4"
1513,1597,2048,"DDX31"
0,2,0,"BARHL1"
0,0,0,"KIR2DL1"
2139,2275,2908,"PPP1R12C"
671,660,843,"MBOAT7"
75,75,66,"SRMS"
33,26,32,"OPRL1"
0,0,0,"LINC00029"
5590,5073,6520,"SLC2A4RG"
0,0,0,"NPBWR2"
19,31,29,"FNDC11"
0,0,0,"BHLHE23"
6471,6316,8013,"PPDPF"
2,0,1,"IL1B"
2,1,1,"PLGLB2"
3,3,5,"IL37"
91,60,100,"CHCHD5"
83,85,95,"PAX8"
1451,1197,1475,"INSIG2"
1724,2019,2682,"POLR1B"
0,0,0,"HTR5BP"
2473,2756,3063,"CCDC93"
3489,3576,4111,"PSD4"
2950,2948,4139,"SLC25A23"
100,107,184,"PSPN"
2742,2740,3864,"GTF2F1"
696,591,902,"ALKBH7"
1563,1704,2326,"CLPP"
37,31,21,"TNFSF9"
15,33,37,"GRIA3"
2062,2167,2716,"THOC2"
2200,2328,2618,"MED1"
6274,6389,8154,"RPL23"
0,0,0,"AC046185.1"
436,483,669,"ATG4C"
2,8,2,"CD70"
2485,1715,1874,"C3"
2030,2061,2717,"SH2D3A"
5471,5593,6594,"TRIP10"
1880,1880,2430,"GPR108"
6,6,4,"TNFSF14"
116,193,468,"FOSB"
1196,1200,1621,"OPA3"
3264,3480,4567,"SNRPD2"
420,340,440,"RTN2"
892,1044,1016,"EML2"
3255,3599,4290,"VASP"
3277,3369,4643,"SYMPK"
1790,1834,1446,"GPCPD1"
51,37,36,"SDCBP2"
2203,2231,2990,"PANK2"
0,0,0,"TGM3"
25,25,28,"GNRH2"
0,0,0,"DEFB126"
0,0,1,"FOXA2"
9,4,5,"FAM182A"
1,2,0,"CD93"
656,648,812,"GZF1"
9,6,10,"PAX1"
662,703,775,"NAPB"
0,0,0,"CST8"
0,0,0,"NKX2-4"
6582,6445,7784,"CENPB"
3391,3279,4395,"PSMF1"
0,0,0,"NKX2-2"
554,561,731,"DTD1"
0,1,0,"CSTL1"
2449,2555,3309,"RBCK1"
2026,2242,2506,"TMX4"
0,0,0,"CST11"
3368,3615,4837,"STK35"
3332,2839,3885,"SNRPB"
1188,1202,1395,"NRSN2"
350,293,389,"AP5S1"
8446,8894,10010,"RRBP1"
13,15,16,"BMP2"
636,637,793,"ZNF133"
6,8,3,"FLRT3"
351,251,463,"OVOL2"
0,0,0,"PCSK2"
0,0,0,"GFRA4"
558,657,933,"MKKS"
228,208,232,"BFSP1"
6871,7363,9292,"DSTN"
1,0,0,"LAMP5"
918,1007,1428,"SNRPB2"
904,890,1134,"MGME1"
285,430,556,"LRRN4"
1823,2099,2705,"TBC1D20"
1739,1665,2308,"ITPA"
139,156,187,"TCF15"
0,0,0,"OTOR"
510,579,709,"MCM8"
1,0,0,"BANF2"
41,19,24,"TMEM74B"
1611,1402,1826,"FAM110A"
0,0,0,"LINC02871"
0,0,0,"SIRPD"
1692,1688,2246,"MRPS26"
0,0,0,"DEFB129"
2,7,4,"S1PR4"
4407,4604,6456,"NCLN"
0,2,2,"CITED1"
9757,9840,12518,"HNRNPR"
832,858,1068,"ZNF436"
1418,1739,2243,"MAX"
0,0,0,"CHURC1-FNTB"
281,267,294,"ARMCX5"
49,39,80,"GDF5"
9,4,7,"MMP24"
979,896,1272,"NECAB3"
13,14,32,"ID1"
7824,7723,10158,"RALY"
155,165,225,"DYNLRB1"
0,0,0,"C20orf173"
3817,4101,5288,"EIF2S2"
4556,4385,5858,"ERGIC3"
1065,980,1443,"ROMO1"
0,0,0,"BPIFB9P"
0,0,3,"FAM83C"
1,0,0,"BPIFB1"
3983,3651,4725,"CEP250"
2750,2994,3711,"PLAGL2"
1664,1358,1649,"MMP24OS"
0,3,1,"GRPR"
3885,3821,5096,"KDM5C"
3281,3259,3524,"AMOT"
757,857,1064,"TMEM115"
5539,5662,7407,"PSMB2"
1271,1483,1802,"AGO3"
1333,1374,1839,"UROD"
90,98,91,"ST3GAL3"
263,266,259,"TMEM53"
1842,2193,2824,"HECTD3"
3,4,6,"KLC1"
0,0,0,"XRCC3"
2119,1882,2324,"TUBGCP3"
3926,3854,4701,"MCF2L"
0,0,0,"F10"
2310,2513,3118,"PCID2"
3,0,1,"PROZ"
1,0,3,"SLURP1"
1142,1017,1245,"LRFN3"
